2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 950, column 74] : $classZero cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 952, column 58] : $disableZERO cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 952, column 71] : $checkClass cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 952, column 83] : $classZero cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 954, column 57] : $checkClass cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 954, column 69] : $disableZERO cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 954, column 82] : $classZero cannot be resolved.
2020-10-23 13:17:30,517 - Left side ($flagAdaHTAPA1958) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 2533, column 47]
2020-10-23 13:17:30,517 - Left side ($flagAdaHAPA1958) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 2665, column 46]
2020-10-23 13:17:30,517 - Left side ($!id_perintah) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. /app/ppk/tindakanPegawaiPerintahSek8.jsp[line 28, column 33]
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/headerppk_script.jsp', line 7, column 27] : $jquery cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/headerppk_script.jsp', line 15, column 27] : $jquery cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/headerppk_script.jsp', line 27, column 27] : $jquery cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/headerppk_script.jsp', line 33, column 27] : $jquery cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/headerppk_script.jsp', line 50, column 11] : $jquery cannot be resolved.
2020-10-23 13:17:30,517 - Null reference [template 'app/ppk/headerppk_script.jsp', line 58, column 11] : $jquery cannot be resolved.
2020-10-23 13:17:30,518 - Null reference [template 'app/ppk/headerppk_script.jsp', line 683, column 1] : $jquery cannot be resolved.
2020-10-23 13:17:30,525 - Null reference [template 'vtl/ajax/ajax_main.vm', line 26, column 1] : $jquery cannot be resolved.
2020-10-23 13:17:30,525 - Left side ($queryString) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/ajax/ajax_main.vm[line 36, column 25]
2020-10-23 13:17:30,525 - Null reference [template 'vtl/ajax/ajax_main.vm', line 37, column 73] : $queryString cannot be resolved.
2020-10-23 13:17:30,525 - Left side ($queryString) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/ajax/ajax_main.vm[line 50, column 25]
2020-10-23 13:17:30,525 - Null reference [template 'vtl/ajax/ajax_main.vm', line 52, column 78] : $queryString cannot be resolved.
2020-10-23 13:17:30,525 - Left side ($queryString) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/ajax/ajax_main.vm[line 64, column 25]
2020-10-23 13:17:30,525 - Null reference [template 'vtl/ajax/ajax_main.vm', line 65, column 34] : $queryString cannot be resolved.
2020-10-23 13:19:47,025 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 15, column 1]
2020-10-23 13:19:47,025 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 28, column 1]
2020-10-23 13:19:47,025 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 29, column 1]
2020-10-23 13:19:47,025 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 37, column 1]
